sc.norm_deg_sp_1,sc.norm_deg_sp_2,type,connected,id_pair,network_id,species_1,species_2,subtype,cond__,estimate__,se__,lower__,upper__
-1.1324026819243376,-1.189588213119096,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.029318013773753104,0.026732052070992874,0.00246986676193998,0.19559077278524634
-1.1324026819243376,-1.1461641159781515,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.03149858243834224,0.0285750145714891,0.0026613976648100796,0.20691504060025873
-1.1324026819243376,-1.102740018837207,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.03378594989039112,0.030633752764681478,0.002890542332887075,0.2198661142250772
-1.1324026819243376,-1.0593159216962627,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.03627527115085428,0.03290343066998083,0.003113088479823138,0.23283074305887586
-1.1324026819243376,-1.0158918245553181,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.0388866751338436,0.03520203457864401,0.0033529044679488423,0.24630890368024883
-1.1324026819243376,-0.9724677274143736,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.041789142711753734,0.037744412773630595,0.0036080222413843567,0.26025646460504714
-1.1324026819243376,-0.9290436302734291,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.04491341994341305,0.0402214674269857,0.0038859245321334404,0.27469890309739387
-1.1324026819243376,-0.8856195331324845,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.048203837053956214,0.043105700695596376,0.004164772990375452,0.28962901893127396
-1.1324026819243376,-0.8421954359915401,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.05173363837603283,0.04617084238730406,0.00448385988908022,0.30534031634417
-1.1324026819243376,-0.7987713388505957,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.05555351726087218,0.04931624118806031,0.0048238824407329526,0.3215349966271025
-1.1324026819243376,-0.7553472417096512,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.05936992198015941,0.05256767291917076,0.005231847597771697,0.33817060612192623
-1.1324026819243376,-0.7119231445687066,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.06357960964531846,0.056247237065223436,0.0056345284925782965,0.3542529300107338
-1.1324026819243376,-0.6684990474277621,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.06801390954809014,0.05980461000011161,0.006068015105024797,0.37079640413713644
-1.1324026819243376,-0.6250749502868177,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.07278663575772024,0.06354551958932039,0.006533930240914834,0.3881361793260352
-1.1324026819243376,-0.5816508531458732,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.0779585285179416,0.06782038781552042,0.006996115000103051,0.4054616322309735
-1.1324026819243376,-0.5382267560049288,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.08327997456259417,0.07233501914788024,0.007508857928947788,0.4223074793791644
-1.1324026819243376,-0.4948026588639842,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.08919655581793087,0.07721051237505747,0.008059250938705678,0.4393360406905771
-1.1324026819243376,-0.4513785617230397,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.09541894815185473,0.08208773814046026,0.008626477067631417,0.45657979735238347
-1.1324026819243376,-0.4079544645820953,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.1021651443183323,0.08748884898090703,0.009227049686677796,0.47564350879974904
-1.1324026819243376,-0.36453036744115075,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.1091135702836395,0.09301763989427451,0.009869021624783997,0.49437337075059434
-1.1324026819243376,-0.32110627030020633,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.11660874280630355,0.09884387911654441,0.01056088548408356,0.5118609674845462
-1.1324026819243376,-0.2776821731592618,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.12453077709760674,0.10458597220329828,0.011338460714610959,0.5307339315115923
-1.1324026819243376,-0.23425807601831727,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.1328832175421077,0.11076458678091518,0.01217372272990349,0.5499840322740543
-1.1324026819243376,-0.19083397887737286,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.14181931698955347,0.1168114003686983,0.013068347341667447,0.5663937908717095
-1.1324026819243376,-0.14740988173642822,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.15100298958722508,0.12281480847032031,0.014029393082555878,0.5826592019786017
-1.1324026819243376,-0.10398578459548391,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.1606566133096254,0.12965630893080862,0.015059111667422314,0.5987466703763272
-1.1324026819243376,-0.06056168745453938,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.17097785542418853,0.13682032952859613,0.01616240910507832,0.6179410188691098
-1.1324026819243376,-0.017137590313594853,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.18200278121398672,0.14379355467355776,0.017344017243041066,0.6363403229487055
-1.1324026819243376,0.026286506827349676,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.19316633377918646,0.1505328672718524,0.01861145811932399,0.6526393728940452
-1.1324026819243376,0.0697106039682942,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.2046998066486502,0.15754533289318753,0.01990969275001949,0.6692618000430981
-1.1324026819243376,0.11313470110923851,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.21695048936389894,0.16467819050433083,0.02126751362163748,0.6848610000811426
-1.1324026819243376,0.15655879825018304,M,NA,NA,NA,NA,NA,NA,Mutualistic,0.22956566812585216,0.17208271340524037,0.022865220333913378,0.6994625065639615
